,location,genotype,DM
872,ND,CDBN_103,112.0
873,ND,CDBN_104,104.0
874,ND,CDBN_106,116.0
875,ND,CDBN_107,108.0
876,ND,CDBN_177,101.0
877,ND,CDBN_108,107.0
878,ND,CDBN_109,104.0
879,ND,CDBN_280,111.0
880,ND,CDBN_156,111.0
881,ND,CDBN_194,121.0
882,ND,CDBN_130,118.0
883,ND,CDBN_113,123.0
884,ND,CDBN_132,108.0
885,ND,CDBN_162,112.0
886,ND,CDBN_169,96.0
887,ND,CDBN_231,109.0
888,ND,CDBN_150,109.0
889,ND,CDBN_209,104.0
890,ND,CDBN_149,111.0
891,ND,CDBN_117,82.0
892,ND,CDBN_118,90.0
893,ND,CDBN_258,80.0
894,ND,CDBN_260,80.0
895,ND,CDBN_264,90.0
896,ND,CDBN_202,77.0
897,ND,CDBN_131,92.0
898,ND,CDBN_137,83.0
899,ND,CDBN_227,92.0
900,ND,CDBN_151,92.0
901,ND,CDBN_122,89.0
902,ND,CDBN_191,88.0
903,ND,CDBN_266,104.0
904,NE,CDBN_054,84.0
905,NE,CDBN_351,91.0
906,NE,CDBN_171,81.0
907,NE,CDBN_345,92.0
908,NE,CDBN_332,89.0
909,NE,CDBN_339,85.0
910,NE,CDBN_067,98.0
911,NE,CDBN_062,95.0
912,NE,CDBN_068,93.0
913,NE,CDBN_172,86.0
914,NE,CDBN_063,91.0
915,NE,CDBN_095,80.0
916,NE,CDBN_342,87.0
917,NE,CDBN_069,82.0
918,NE,CDBN_161,92.0
919,NE,CDBN_059,87.0
920,NE,CDBN_071,79.0
921,NE,CDBN_310,87.0
922,NE,CDBN_060,88.0
923,NE,CDBN_061,87.0
924,NE,CDBN_349,90.0
925,NE,CDBN_185,96.0
926,NE,CDBN_173,89.0
927,NE,CDBN_160,91.0
928,NE,CDBN_070,91.0
929,NE,CDBN_236,96.0
930,NE,CDBN_235,88.0
931,NE,CDBN_218,95.0
932,NE,CDBN_343,91.0
933,NE,CDBN_052,101.0
934,NE,CDBN_064,98.0
935,NE,CDBN_262,90.0
936,NE,CDBN_083,88.0
937,NE,CDBN_143,90.0
938,NE,CDBN_253,96.0
939,NE,CDBN_237,94.0
940,NE,CDBN_058,93.0
941,NE,CDBN_217,96.0
942,NE,CDBN_167,98.0
943,NE,CDBN_261,94.0
944,NE,CDBN_243,92.0
945,NE,CDBN_295,106.0
946,NE,CDBN_066,104.0
947,NE,CDBN_269,107.0
948,NE,CDBN_055,95.0
949,NE,CDBN_195,97.0
950,NE,CDBN_305,90.0
951,NE,CDBN_174,98.0
952,NE,CDBN_214,101.0
953,NE,CDBN_141,89.0
954,NE,CDBN_142,91.0
955,NE,CDBN_255,88.0
956,NE,CDBN_270,84.0
957,NE,CDBN_197,90.0
958,NE,CDBN_210,89.0
959,NE,CDBN_085,93.0
960,NE,CDBN_228,93.0
961,NE,CDBN_184,86.0
962,NE,CDBN_254,88.0
963,NE,CDBN_215,97.0
964,NE,CDBN_168,105.0
965,NE,CDBN_163,99.0
966,NE,CDBN_096,103.0
967,NE,CDBN_056,104.0
968,NE,CDBN_272,100.0
969,NE,CDBN_198,98.0
970,NE,CDBN_200,97.0
971,NE,CDBN_189,97.0
972,NE,CDBN_206,96.0
973,NE,CDBN_211,102.0
974,NE,CDBN_216,95.0
975,NE,CDBN_091,94.3333333333333
976,NE,CDBN_244,93.3333333333333
977,NE,CDBN_035,93.0
978,NE,CDBN_178,93.3333333333333
979,NE,CDBN_139,94.0
980,NE,CDBN_353,93.0
981,NE,CDBN_092,104.0
982,NE,CDBN_320,106.0
983,NE,CDBN_181,101.0
984,NE,CDBN_183,104.0
985,NE,CDBN_019,106.0
986,NE,CDBN_020,102.0
987,NE,CDBN_252,104.0
988,NE,CDBN_302,99.0
989,NE,CDBN_078,104.0
990,NE,CDBN_165,103.0
991,NE,CDBN_212,106.0
992,NE,CDBN_213,98.0
993,NE,CDBN_158,106.0
994,NE,CDBN_094,109.0
995,NE,CDBN_082,98.0
996,NE,CDBN_223,104.0
997,NE,CDBN_225,100.0
998,NE,CDBN_245,119.0
999,NE,CDBN_304,109.0
1000,NE,CDBN_324,119.0
1001,NE,CDBN_204,116.0
1002,NE,CDBN_224,107.0
1003,NE,CDBN_087,116.0
1004,NE,CDBN_010,101.0
1005,NE,CDBN_011,100.666666666667
1006,NE,CDBN_012,100.333333333333
1007,NE,CDBN_015,100.666666666667
1008,NE,CDBN_016,99.6666666666667
1009,NE,CDBN_277,104.0
1010,NE,CDBN_116,103.0
1011,NE,CDBN_298,92.3333333333333
1012,NE,CDBN_299,92.0
1013,NE,CDBN_249,87.6666666666667
1014,NE,CDBN_250,88.3333333333333
1015,NE,CDBN_251,86.3333333333333
1016,NE,CDBN_017,103.666666666667
1017,NE,CDBN_021,106.0
1018,NE,CDBN_089,97.3333333333333
1019,NE,CDBN_026,106.666666666667
1020,NE,CDBN_263,94.3333333333333
1021,NE,CDBN_125,107.333333333333
1022,NE,CDBN_126,101.666666666667
1023,NE,CDBN_127,101.666666666667
1024,NE,CDBN_027,102.0
1025,NE,CDBN_028,95.3333333333333
1026,NE,CDBN_164,104.0
1027,NE,CDBN_044,105.666666666667
1028,NE,CDBN_046,95.6666666666667
1029,NE,CDBN_285,106.333333333333
1030,NE,CDBN_079,109.0
1031,NE,CDBN_219,94.0
1032,NE,CDBN_311,91.3333333333333
1033,NE,CDBN_053,93.6666666666667
1034,NE,CDBN_065,94.6666666666667
1035,NE,CDBN_314,83.3333333333333
1036,NE,CDBN_317,87.0
1037,NE,CDBN_051,109.0
1038,NE,CDBN_293,90.0
1039,NE,CDBN_242,95.0
1040,NE,CDBN_239,99.0
1041,NE,CDBN_159,108.0
1042,NE,CDBN_300,91.0
1043,NE,CDBN_278,106.0
1044,NE,CDBN_024,90.0
1045,NE,CDBN_268,94.0
1046,NE,CDBN_037,104.0
1047,NE,CDBN_039,86.0
1048,NE,CDBN_048,99.0
1049,NE,CDBN_193,90.0
1050,NE,CDBN_128,90.0
1051,NE,CDBN_284,90.0
1052,NE,CDBN_303,116.0
1053,NE,CDBN_238,106.0
1054,NE,CDBN_307,93.0
1055,NE,CDBN_290,115.0
1056,NE,CDBN_138,100.0
1057,NE,CDBN_273,102.0
1058,NE,CDBN_274,115.0
1059,NE,CDBN_318,94.0
1060,NE,CDBN_002,79.0
1061,NE,CDBN_009,87.0
1062,NE,CDBN_154,80.0
1063,NE,CDBN_241,88.0
1064,NE,CDBN_275,84.0
1065,NE,CDBN_123,95.0
1066,NE,CDBN_259,91.0
1067,NE,CDBN_267,91.0
1068,NE,CDBN_038,92.0
1069,NE,CDBN_040,84.0
1070,NE,CDBN_043,93.0
1071,NE,CDBN_093,90.0
1072,NE,CDBN_179,87.0
1073,NE,CDBN_201,90.0
1074,NE,CDBN_098,95.0
1075,NE,CDBN_166,93.0
1076,NE,CDBN_086,76.0
1077,NE,CDBN_226,95.0
1078,NE,CDBN_088,91.0
1079,NE,CDBN_155,91.0
1080,NE,CDBN_296,88.0
1081,NE,CDBN_321,97.0
1082,NE,CDBN_248,101.0
1083,NE,CDBN_301,100.0
1084,NE,CDBN_257,89.0
1085,NE,CDBN_146,102.0
1086,NE,CDBN_042,97.0
1087,NE,CDBN_306,90.0
1088,NE,CDBN_312,94.0
1089,NE,CDBN_316,90.0
1090,NE,CDBN_144,99.0
1091,NE,CDBN_170,94.0
1092,NE,CDBN_288,94.0
1093,NE,CDBN_097,95.0
1094,NE,CDBN_265,93.0
1095,NE,CDBN_030,96.0
1096,NE,CDBN_031,96.0
1097,NE,CDBN_032,94.0
1098,NE,CDBN_033,95.0
1099,NE,CDBN_034,95.0
1100,NE,CDBN_192,94.0
1101,NE,CDBN_041,99.0
1102,NE,CDBN_076,92.0
1103,NE,CDBN_077,93.0
1104,NE,CDBN_196,92.0
1105,NE,CDBN_207,97.0
1106,NE,CDBN_186,87.0
1107,NE,CDBN_006,85.0
1108,NE,CDBN_187,91.0
1109,NE,CDBN_008,96.0
1110,NE,CDBN_147,91.0
1111,NE,CDBN_023,95.0
1112,NE,CDBN_124,101.0
1113,NE,CDBN_073,99.0
1114,NE,CDBN_075,93.0
1115,NE,CDBN_175,87.0
1116,NE,CDBN_007,95.0
1117,NE,CDBN_001,108.0
1118,NE,CDBN_005,105.0
1119,NE,CDBN_294,96.0
1120,NE,CDBN_050,108.0
1121,NE,CDBN_297,90.0
1122,NE,CDBN_182,103.0
1123,NE,CDBN_287,95.0
1124,NE,CDBN_279,94.0
1125,NE,CDBN_322,95.0
1126,NE,CDBN_289,107.0
1127,NE,CDBN_045,104.0
1128,NE,CDBN_047,99.0
1129,NE,CDBN_072,111.0
1130,NE,CDBN_134,112.0
1131,NE,CDBN_291,110.0
1132,NE,CDBN_003,90.0
1133,NE,CDBN_074,84.0
1134,NE,CDBN_080,91.0
1135,NE,CDBN_081,86.0
1136,NE,CDBN_309,87.0
1137,NE,CDBN_313,84.0
1138,NE,CDBN_315,82.0
1139,NE,CDBN_286,89.0
1140,NE,CDBN_090,78.0
1141,NE,CDBN_136,100.0
1142,NE,CDBN_246,107.0
1143,NE,CDBN_323,100.0
1144,NE,CDBN_188,94.0
1145,NE,CDBN_180,106.0
1146,NE,CDBN_240,99.0
1147,NE,CDBN_153,88.0
1148,NE,CDBN_308,98.0
1149,NE,CDBN_319,95.0
1150,NE,CDBN_100,80.0
1151,NE,CDBN_120,88.0
1152,NE,CDBN_276,93.0
1153,NE,CDBN_280,101.0
1154,NE,CDBN_281,98.0
1155,NE,CDBN_157,101.0
1156,NE,CDBN_133,83.0
1157,NE,CDBN_049,99.0
1158,NE,CDBN_099,89.0
1159,NE,CDBN_101,98.0
1160,NE,CDBN_102,110.0
1161,NE,CDBN_110,101.0
1162,NE,CDBN_111,93.0
1163,NE,CDBN_282,99.0
1164,NE,CDBN_283,102.0
1165,NE,CDBN_057,109.0
1166,NE,CDBN_112,84.0
1167,NE,CDBN_221,88.0
1168,NE,CDBN_229,101.0
1169,NE,CDBN_145,106.0
1170,NE,CDBN_103,88.0
1171,NE,CDBN_104,87.0
1172,NE,CDBN_106,101.0
1173,NE,CDBN_107,94.0
1174,NE,CDBN_177,92.0
1175,NE,CDBN_108,87.0
1176,NE,CDBN_109,87.0
1177,NE,CDBN_156,106.0
1178,NE,CDBN_194,106.0
1179,NE,CDBN_130,94.0
1180,NE,CDBN_113,106.0
1181,NE,CDBN_132,87.0
1182,NE,CDBN_162,106.0
1183,NE,CDBN_292,106.0
1184,NE,CDBN_105,84.0
1185,NE,CDBN_169,85.0
1186,NE,CDBN_231,86.0
1187,NE,CDBN_137,94.0
1188,NE,CDBN_150,86.0
1189,NE,CDBN_258,82.0
1190,NE,CDBN_264,93.0
1191,NE,CDBN_266,89.0
1192,NE,CDBN_152,91.0
1193,NE,CDBN_230,79.0
1194,NE,CDBN_209,85.0
1195,NE,CDBN_135,90.0
1196,NE,CDBN_222,87.0
1197,NE,CDBN_148,90.0
1198,NE,CDBN_227,90.0
1199,NE,CDBN_149,80.0
1200,NE,CDBN_117,84.0
1201,NE,CDBN_118,84.0
1202,NE,CDBN_122,108.0
1203,NE,CDBN_260,88.0
1204,NE,CDBN_202,84.0
1205,NE,CDBN_131,92.0
1206,NE,CDBN_151,110.0
1207,ON,CDBN_054,102.0
1208,ON,CDBN_351,100.0
1209,ON,CDBN_171,91.0
1210,ON,CDBN_345,104.0
1211,ON,CDBN_332,95.0
1212,ON,CDBN_339,91.0
1213,ON,CDBN_067,105.0
1214,ON,CDBN_062,103.0
1215,ON,CDBN_068,101.0
1216,ON,CDBN_172,98.0
1217,ON,CDBN_063,93.0
1218,ON,CDBN_095,87.0
1219,ON,CDBN_342,98.0
1220,ON,CDBN_069,95.0
1221,ON,CDBN_161,98.0
1222,ON,CDBN_059,92.0
1223,ON,CDBN_071,91.0
1224,ON,CDBN_310,100.0
1225,ON,CDBN_060,96.0
1226,ON,CDBN_061,93.0
1227,ON,CDBN_349,101.0
1228,ON,CDBN_185,112.0
1229,ON,CDBN_173,104.0
1230,ON,CDBN_160,106.0
1231,ON,CDBN_070,103.0
1232,ON,CDBN_236,110.0
1233,ON,CDBN_235,101.0
1234,ON,CDBN_218,106.0
1235,ON,CDBN_343,110.0
1236,ON,CDBN_052,120.0
1237,ON,CDBN_064,119.0
1238,ON,CDBN_262,117.0
1239,ON,CDBN_083,109.0
1240,ON,CDBN_143,114.0
1241,ON,CDBN_253,92.0
1242,ON,CDBN_237,94.0
1243,ON,CDBN_058,93.0
1244,ON,CDBN_217,93.0
1245,ON,CDBN_167,104.0
1246,ON,CDBN_261,94.0
1247,ON,CDBN_243,86.0
1248,ON,CDBN_295,100.0
1249,ON,CDBN_066,109.0
1250,ON,CDBN_269,97.0
1251,ON,CDBN_055,93.0
1252,ON,CDBN_195,102.0
1253,ON,CDBN_305,86.0
1254,ON,CDBN_174,91.0
1255,ON,CDBN_214,93.0
1256,ON,CDBN_141,94.0
1257,ON,CDBN_142,89.0
1258,ON,CDBN_255,98.0
1259,ON,CDBN_270,86.0
1260,ON,CDBN_197,99.0
1261,ON,CDBN_210,94.0
1262,ON,CDBN_085,100.0
1263,ON,CDBN_228,105.0
1264,ON,CDBN_184,104.0
1265,ON,CDBN_254,108.0
1266,ON,CDBN_215,114.0
1267,ON,CDBN_168,104.3
1268,ON,CDBN_163,101.4
1269,ON,CDBN_096,96.7
1270,ON,CDBN_056,117.7
1271,ON,CDBN_272,94.1
1272,ON,CDBN_198,101.2
1273,ON,CDBN_200,105.7
1274,ON,CDBN_189,91.3
1275,ON,CDBN_206,88.3
1276,ON,CDBN_211,100.1
1277,ON,CDBN_216,95.1
1278,ON,CDBN_091,94.18
1279,ON,CDBN_244,100.86
1280,ON,CDBN_035,91.69
1281,ON,CDBN_178,103.15
1282,ON,CDBN_139,92.05
1283,ON,CDBN_353,103.03
1284,ON,CDBN_320,111.0
1285,ON,CDBN_252,115.0
1286,ON,CDBN_304,94.0
1287,ON,CDBN_204,113.0
1288,ON,CDBN_212,115.0
1289,ON,CDBN_213,105.0
1290,ON,CDBN_225,107.0
1291,ON,CDBN_092,115.1433
1292,ON,CDBN_245,119.2261
1293,ON,CDBN_019,117.4335
1294,ON,CDBN_020,110.4762
1295,ON,CDBN_302,109.2204
1296,ON,CDBN_324,115.8329
1297,ON,CDBN_224,105.9959
1298,ON,CDBN_087,121.3381
1299,ON,CDBN_011,99.5
1300,ON,CDBN_016,101.75
1301,ON,CDBN_089,90.25
1302,ON,CDBN_123,91.75
1303,ON,CDBN_263,100.5
1304,ON,CDBN_126,92.0
1305,ON,CDBN_127,97.0
1306,ON,CDBN_028,100.25
1307,ON,CDBN_129,100.75
1308,ON,CDBN_196,86.5
1309,ON,CDBN_079,96.25
1310,ON,CDBN_084,89.75
1311,ON,CDBN_010,98.2069
1312,ON,CDBN_012,86.119
1313,ON,CDBN_015,97.1293
1314,ON,CDBN_277,102.555
1315,ON,CDBN_116,109.5003
1316,ON,CDBN_298,86.5934
1317,ON,CDBN_299,90.6698
1318,ON,CDBN_249,85.6088
1319,ON,CDBN_250,79.0226
1320,ON,CDBN_251,83.9889
1321,ON,CDBN_017,94.9721
1322,ON,CDBN_021,116.0575
1323,ON,CDBN_026,107.2337
1324,ON,CDBN_125,101.4062
1325,ON,CDBN_027,106.1878
1326,ON,CDBN_164,102.4849
1327,ON,CDBN_044,112.8512
1328,ON,CDBN_046,96.7266
1329,ON,CDBN_285,107.8995
1330,ON,CDBN_219,83.5429
1331,ON,CDBN_311,88.3916
1332,ON,CDBN_053,84.161
1333,ON,CDBN_065,94.0877
1334,ON,CDBN_314,86.463
1335,ON,CDBN_317,81.981
1336,ON,CDBN_013,96.0
1337,ON,CDBN_014,93.0
1338,ON,CDBN_051,118.0
1339,ON,CDBN_293,109.0
1340,ON,CDBN_242,102.0
1341,ON,CDBN_239,113.0
1342,ON,CDBN_159,112.0
1343,ON,CDBN_247,99.0
1344,ON,CDBN_278,113.0
1345,ON,CDBN_024,96.0
1346,ON,CDBN_268,113.0
1347,ON,CDBN_036,113.0
1348,ON,CDBN_037,117.0
1349,ON,CDBN_048,108.0
1350,ON,CDBN_271,112.0
1351,ON,CDBN_193,106.0
1352,ON,CDBN_128,92.0
1353,ON,CDBN_303,111.0
1354,ON,CDBN_199,99.0
1355,ON,CDBN_232,115.0
1356,ON,CDBN_203,116.0
1357,ON,CDBN_098,112.0
1358,ON,CDBN_165,112.0
1359,ON,CDBN_307,114.0
1360,ON,CDBN_138,109.0
1361,ON,CDBN_318,106.0
1362,ON,CDBN_300,97.0
1363,ON,CDBN_039,103.0
1364,ON,CDBN_284,105.0
1365,ON,CDBN_238,108.0
1366,ON,CDBN_290,103.0
1367,ON,CDBN_273,106.0
1368,ON,CDBN_274,101.0
1369,ON,CDBN_002,99.0
1370,ON,CDBN_115,92.0
1371,ON,CDBN_275,88.0
1372,ON,CDBN_259,100.0
1373,ON,CDBN_166,102.0
1374,ON,CDBN_226,96.0
1375,ON,CDBN_009,106.0
1376,ON,CDBN_154,101.0
1377,ON,CDBN_241,105.0
1378,ON,CDBN_267,106.0
1379,ON,CDBN_038,107.0
1380,ON,CDBN_040,104.0
1381,ON,CDBN_043,110.0
1382,ON,CDBN_093,115.0
1383,ON,CDBN_179,101.0
1384,ON,CDBN_201,106.0
1385,ON,CDBN_086,90.0
1386,ON,CDBN_088,119.0
1387,ON,CDBN_155,108.0
1388,ON,CDBN_296,103.0
1389,ON,CDBN_321,114.0
1390,ON,CDBN_248,105.0
1391,ON,CDBN_301,112.0
1392,ON,CDBN_257,107.0
1393,ON,CDBN_146,112.0
1394,ON,CDBN_265,98.0
1395,ON,CDBN_042,112.0
1396,ON,CDBN_306,101.0
1397,ON,CDBN_312,103.0
1398,ON,CDBN_316,107.0
1399,ON,CDBN_144,114.0
1400,ON,CDBN_170,113.0
1401,ON,CDBN_288,98.0
1402,ON,CDBN_097,113.0
1403,ON,CDBN_030,108.0
1404,ON,CDBN_031,113.0
1405,ON,CDBN_032,106.0
1406,ON,CDBN_033,110.0
1407,ON,CDBN_034,114.0
1408,ON,CDBN_192,114.0
1409,ON,CDBN_041,112.0
1410,ON,CDBN_076,97.0
1411,ON,CDBN_077,116.0
1412,ON,CDBN_207,97.0
1413,ON,CDBN_186,98.0
1414,ON,CDBN_006,101.0
1415,ON,CDBN_187,100.0
1416,ON,CDBN_008,108.0
1417,ON,CDBN_007,113.0
1418,ON,CDBN_147,101.0
1419,ON,CDBN_023,118.0
1420,ON,CDBN_124,112.0
1421,ON,CDBN_073,116.0
1422,ON,CDBN_075,114.0
1423,ON,CDBN_175,96.0
1424,ON,CDBN_001,129.0
1425,ON,CDBN_005,119.0
1426,ON,CDBN_294,113.0
1427,ON,CDBN_050,121.0
1428,ON,CDBN_297,110.0
1429,ON,CDBN_182,114.0
1430,ON,CDBN_287,108.0
1431,ON,CDBN_279,103.0
1432,ON,CDBN_322,114.0
1433,ON,CDBN_289,129.0
1434,ON,CDBN_045,112.0
1435,ON,CDBN_047,111.0
1436,ON,CDBN_072,111.0
1437,ON,CDBN_134,125.0
1438,ON,CDBN_291,125.0
1439,ON,CDBN_003,87.0
1440,ON,CDBN_286,99.0
1441,ON,CDBN_074,89.0
1442,ON,CDBN_080,91.0
1443,ON,CDBN_090,90.0
1444,ON,CDBN_081,88.0
1445,ON,CDBN_309,88.0
1446,ON,CDBN_313,80.0
1447,ON,CDBN_315,88.0
1448,ON,CDBN_136,89.0
1449,ON,CDBN_246,100.0
1450,ON,CDBN_323,91.0
1451,ON,CDBN_188,90.0
1452,ON,CDBN_180,98.0
1453,ON,CDBN_240,90.0
1454,ON,CDBN_153,84.0
1455,ON,CDBN_308,100.0
1456,ON,CDBN_319,78.0
1457,ON,CDBN_025,85.0
1458,ON,CDBN_280,104.0
1459,ON,CDBN_049,91.0
1460,ON,CDBN_100,98.0
1461,ON,CDBN_120,105.0
1462,ON,CDBN_276,100.0
1463,ON,CDBN_281,119.0
1464,ON,CDBN_157,116.0
1465,ON,CDBN_133,94.0
1466,ON,CDBN_112,74.0
1467,ON,CDBN_220,88.0
1468,ON,CDBN_099,83.0
1469,ON,CDBN_101,88.0
1470,ON,CDBN_102,122.0
1471,ON,CDBN_110,107.0
1472,ON,CDBN_111,93.0
1473,ON,CDBN_282,121.0
1474,ON,CDBN_283,83.0
1475,ON,CDBN_057,86.0
1476,ON,CDBN_221,102.0
1477,ON,CDBN_229,93.0
1478,ON,CDBN_145,104.0
1479,ON,CDBN_103,90.0
1480,ON,CDBN_104,90.0
1481,ON,CDBN_106,103.0
1482,ON,CDBN_107,90.0
1483,ON,CDBN_177,86.0
1484,ON,CDBN_108,81.0
1485,ON,CDBN_109,91.0
1486,ON,CDBN_156,101.0
1487,ON,CDBN_194,105.0
1488,ON,CDBN_130,91.0
1489,ON,CDBN_113,101.0
1490,ON,CDBN_132,92.0
1491,ON,CDBN_162,102.0
1492,ON,CDBN_292,92.0
1493,ON,CDBN_169,82.0
1494,ON,CDBN_117,85.0
1495,ON,CDBN_118,88.0
1496,ON,CDBN_122,85.0
1497,ON,CDBN_264,86.0
1498,ON,CDBN_131,84.0
1499,ON,CDBN_227,85.0
1500,ON,CDBN_151,89.0
1501,WA,CDBN_054,99.0
1502,WA,CDBN_351,105.0
1503,WA,CDBN_171,84.0
1504,WA,CDBN_345,110.0
1505,WA,CDBN_332,100.0
1506,WA,CDBN_339,97.0
1507,WA,CDBN_067,114.0
1508,WA,CDBN_062,112.0
1509,WA,CDBN_068,113.0
1510,WA,CDBN_172,93.0
1511,WA,CDBN_063,101.0
1512,WA,CDBN_095,101.0
1513,WA,CDBN_342,102.0
1514,WA,CDBN_069,95.0
1515,WA,CDBN_161,102.0
1516,WA,CDBN_059,109.0
1517,WA,CDBN_071,85.0
1518,WA,CDBN_310,113.0
1519,WA,CDBN_060,98.0
1520,WA,CDBN_061,93.0
1521,WA,CDBN_349,109.0
1522,WA,CDBN_185,100.0
1523,WA,CDBN_173,96.0
1524,WA,CDBN_160,83.0
1525,WA,CDBN_070,95.0
1526,WA,CDBN_236,101.0
1527,WA,CDBN_235,91.0
1528,WA,CDBN_218,94.0
1529,WA,CDBN_343,98.0
1530,WA,CDBN_052,112.0
1531,WA,CDBN_064,107.0
1532,WA,CDBN_262,103.0
1533,WA,CDBN_083,101.0
1534,WA,CDBN_143,107.0
1535,WA,CDBN_253,103.0
1536,WA,CDBN_237,99.0
1537,WA,CDBN_058,103.0
1538,WA,CDBN_217,107.0
1539,WA,CDBN_167,107.0
1540,WA,CDBN_261,97.0
1541,WA,CDBN_243,89.0
1542,WA,CDBN_295,108.0
1543,WA,CDBN_066,98.0
1544,WA,CDBN_269,100.0
1545,WA,CDBN_055,101.0
1546,WA,CDBN_195,101.0
1547,WA,CDBN_305,89.0
1548,WA,CDBN_174,104.0
1549,WA,CDBN_214,94.0
1550,WA,CDBN_141,92.0
1551,WA,CDBN_142,100.0
1552,WA,CDBN_255,103.0
1553,WA,CDBN_270,98.0
1554,WA,CDBN_197,108.0
1555,WA,CDBN_210,99.0
1556,WA,CDBN_085,105.0
1557,WA,CDBN_228,109.0
1558,WA,CDBN_184,94.0
1559,WA,CDBN_254,97.0
1560,WA,CDBN_215,101.0
1561,WA,CDBN_168,97.0
1562,WA,CDBN_163,97.0
1563,WA,CDBN_096,103.0
1564,WA,CDBN_056,111.0
1565,WA,CDBN_272,107.0
1566,WA,CDBN_198,106.0
1567,WA,CDBN_200,111.0
1568,WA,CDBN_189,96.0
1569,WA,CDBN_206,100.0
1570,WA,CDBN_211,103.0
1571,WA,CDBN_216,107.0
1572,WA,CDBN_091,93.0
1573,WA,CDBN_320,111.0
1574,WA,CDBN_244,104.0
1575,WA,CDBN_252,104.0
1576,WA,CDBN_035,109.0
1577,WA,CDBN_304,93.0
1578,WA,CDBN_204,109.0
1579,WA,CDBN_212,109.0
1580,WA,CDBN_178,109.0
1581,WA,CDBN_213,93.0
1582,WA,CDBN_225,93.0
1583,WA,CDBN_092,90.0
1584,WA,CDBN_181,90.0
1585,WA,CDBN_183,95.0
1586,WA,CDBN_019,95.0
1587,WA,CDBN_020,86.0
1588,WA,CDBN_302,86.0
1589,WA,CDBN_078,90.0
1590,WA,CDBN_165,86.0
1591,WA,CDBN_158,90.0
1592,WA,CDBN_094,96.0
1593,WA,CDBN_082,93.0
1594,WA,CDBN_223,95.0
1595,WA,CDBN_245,96.0
1596,WA,CDBN_324,96.0
1597,WA,CDBN_224,93.0
1598,WA,CDBN_087,95.0
1599,WA,CDBN_275,88.0
1600,WA,CDBN_170,87.0
1601,WA,CDBN_121,93.0
1602,WA,CDBN_026,100.0
1603,WA,CDBN_196,83.0
1604,WA,CDBN_208,96.0
1605,WA,CDBN_234,104.0
1606,WA,CDBN_316,104.0
1607,WA,CDBN_084,90.0
1608,WA,CDBN_011,97.0
1609,WA,CDBN_016,97.0
1610,WA,CDBN_089,85.5
1611,WA,CDBN_123,104.0
1612,WA,CDBN_263,103.0
1613,WA,CDBN_126,100.0
1614,WA,CDBN_127,100.0
1615,WA,CDBN_028,102.5
1616,WA,CDBN_129,104.0
1617,WA,CDBN_079,100.5
1618,WA,CDBN_010,87.0
1619,WA,CDBN_012,88.0
1620,WA,CDBN_015,91.0
1621,WA,CDBN_277,95.0
1622,WA,CDBN_116,92.0
1623,WA,CDBN_298,94.0
1624,WA,CDBN_299,90.0
1625,WA,CDBN_249,85.0
1626,WA,CDBN_250,86.0
1627,WA,CDBN_251,90.0
1628,WA,CDBN_017,87.0
1629,WA,CDBN_021,97.0
1630,WA,CDBN_125,87.0
1631,WA,CDBN_027,87.0
1632,WA,CDBN_164,85.0
1633,WA,CDBN_044,92.0
1634,WA,CDBN_046,83.0
1635,WA,CDBN_285,90.0
1636,WA,CDBN_219,85.0
1637,WA,CDBN_311,90.0
1638,WA,CDBN_053,85.0
1639,WA,CDBN_065,96.0
1640,WA,CDBN_314,90.0
1641,WA,CDBN_317,88.0
1642,WA,CDBN_013,92.0
1643,WA,CDBN_014,94.0
1644,WA,CDBN_051,82.0
1645,WA,CDBN_293,87.0
1646,WA,CDBN_242,92.0
1647,WA,CDBN_239,95.0
1648,WA,CDBN_159,82.0
1649,WA,CDBN_247,82.0
1650,WA,CDBN_278,82.0
1651,WA,CDBN_024,82.0
1652,WA,CDBN_268,87.0
1653,WA,CDBN_036,95.0
1654,WA,CDBN_037,95.0
1655,WA,CDBN_048,94.0
1656,WA,CDBN_271,90.0
1657,WA,CDBN_193,87.0
1658,WA,CDBN_128,87.0
1659,WA,CDBN_303,94.0
1660,WA,CDBN_199,82.0
1661,WA,CDBN_232,94.0
1662,WA,CDBN_203,95.0
1663,WA,CDBN_098,92.0
1664,WA,CDBN_307,87.0
1665,WA,CDBN_138,87.0
1666,WA,CDBN_318,82.0
1667,WA,CDBN_300,89.0
1668,WA,CDBN_039,105.0
1669,WA,CDBN_284,85.0
1670,WA,CDBN_238,108.0
1671,WA,CDBN_290,95.0
1672,WA,CDBN_273,108.0
1673,WA,CDBN_274,87.0
1674,WA,CDBN_002,76.0
1675,WA,CDBN_115,90.0
1676,WA,CDBN_259,92.0
1677,WA,CDBN_166,87.0
1678,WA,CDBN_226,90.0
1679,WA,CDBN_009,91.0
1680,WA,CDBN_154,85.0
1681,WA,CDBN_241,85.0
1682,WA,CDBN_267,91.0
1683,WA,CDBN_038,90.0
1684,WA,CDBN_040,85.0
1685,WA,CDBN_043,91.0
1686,WA,CDBN_093,87.0
1687,WA,CDBN_179,85.0
1688,WA,CDBN_201,91.0
1689,WA,CDBN_086,85.0
1690,WA,CDBN_088,91.0
1691,WA,CDBN_155,94.0
1692,WA,CDBN_296,94.0
1693,WA,CDBN_321,105.0
1694,WA,CDBN_248,98.0
