,location,genotype,DM
135,CO,CDBN_303,96.0
136,CO,CDBN_199,90.0
137,CO,CDBN_232,101.0
138,CO,CDBN_203,99.0
139,CO,CDBN_098,99.0
140,CO,CDBN_307,94.0
141,CO,CDBN_138,97.0
142,CO,CDBN_318,93.0
143,CO,CDBN_300,84.0
144,CO,CDBN_039,92.0
145,CO,CDBN_284,92.0
146,CO,CDBN_238,93.0
147,CO,CDBN_324,89.0
148,CO,CDBN_290,88.0
149,CO,CDBN_087,92.0
150,CO,CDBN_273,94.0
151,CO,CDBN_274,87.0
152,CO,CDBN_186,87.0
153,CO,CDBN_006,82.0
154,CO,CDBN_187,84.0
155,CO,CDBN_008,82.0
156,CO,CDBN_007,97.0
157,CO,CDBN_147,87.0
158,CO,CDBN_155,92.0
159,CO,CDBN_296,88.0
160,CO,CDBN_023,92.0
161,CO,CDBN_170,88.0
162,CO,CDBN_288,93.0
163,CO,CDBN_124,96.0
164,CO,CDBN_146,96.0
165,CO,CDBN_097,94.0
166,CO,CDBN_041,88.0
167,CO,CDBN_073,91.0
168,CO,CDBN_075,86.0
169,CO,CDBN_175,90.0
170,CO,CDBN_306,86.0
171,CO,CDBN_312,86.0
172,CO,CDBN_316,90.0
173,CO,CDBN_001,96.0
174,CO,CDBN_005,91.0
175,CO,CDBN_294,91.0
176,CO,CDBN_050,94.0
177,CO,CDBN_297,92.0
178,CO,CDBN_182,89.0
179,CO,CDBN_287,94.0
180,CO,CDBN_279,91.0
181,CO,CDBN_301,96.0
182,CO,CDBN_322,93.0
183,CO,CDBN_289,100.0
184,CO,CDBN_045,91.0
185,CO,CDBN_047,92.0
186,CO,CDBN_072,93.0
187,CO,CDBN_134,95.0
188,CO,CDBN_291,95.0
189,CO,CDBN_136,101.0
190,CO,CDBN_246,106.0
191,CO,CDBN_286,101.0
192,CO,CDBN_323,96.0
193,CO,CDBN_188,104.0
194,CO,CDBN_180,106.0
195,CO,CDBN_090,104.0
196,CO,CDBN_153,94.0
197,CO,CDBN_309,105.0
198,CO,CDBN_313,94.0
199,CO,CDBN_315,94.0
200,CO,CDBN_319,92.0
201,CO,CDBN_025,92.0
202,CO,CDBN_280,102.0
203,CO,CDBN_308,109.0
204,CO,CDBN_049,98.0
205,CO,CDBN_100,98.0
206,CO,CDBN_120,92.0
207,CO,CDBN_276,90.0
208,CO,CDBN_281,93.0
209,CO,CDBN_157,94.0
210,CO,CDBN_133,91.0
211,CO,CDBN_112,93.0
212,CO,CDBN_220,93.0
213,CO,CDBN_099,91.0
214,CO,CDBN_101,94.0
215,CO,CDBN_102,105.0
216,CO,CDBN_110,97.0
217,CO,CDBN_111,96.0
218,CO,CDBN_282,101.0
219,CO,CDBN_283,101.0
220,CO,CDBN_057,105.0
221,CO,CDBN_221,98.0
222,CO,CDBN_229,98.0
223,CO,CDBN_145,103.0
224,CO,CDBN_103,97.0
225,CO,CDBN_104,96.0
226,CO,CDBN_106,101.0
227,CO,CDBN_107,99.0
228,CO,CDBN_177,93.0
229,CO,CDBN_108,92.0
230,CO,CDBN_109,97.0
231,CO,CDBN_156,98.0
232,CO,CDBN_194,101.0
233,CO,CDBN_130,99.0
234,CO,CDBN_113,102.0
235,CO,CDBN_132,97.0
236,CO,CDBN_162,98.0
237,CO,CDBN_292,99.0
238,CO,CDBN_105,94.0
239,CO,CDBN_169,102.0
240,CO,CDBN_231,97.0
241,CO,CDBN_137,101.0
242,CO,CDBN_150,93.0
243,CO,CDBN_258,95.0
244,CO,CDBN_264,97.0
245,CO,CDBN_266,100.0
246,CO,CDBN_152,106.0
247,CO,CDBN_230,95.0
248,CO,CDBN_209,104.0
249,CO,CDBN_135,102.0
250,CO,CDBN_222,100.0
251,CO,CDBN_148,103.0
252,CO,CDBN_227,99.0
253,CO,CDBN_149,100.0
254,CO,CDBN_117,102.0
255,CO,CDBN_118,100.0
256,CO,CDBN_260,100.0
257,CO,CDBN_202,98.0
258,CO,CDBN_176,78.0
259,CO,CDBN_122,78.1353846153846
260,CO,CDBN_191,78.2507692307692
261,CO,CDBN_114,80.0
262,CO,CDBN_131,79.0
263,CO,CDBN_233,79.0
264,CO,CDBN_151,82.0
265,MI,CDBN_171,103.0
266,MI,CDBN_339,109.0
267,MI,CDBN_172,110.0
268,MI,CDBN_063,94.0
269,MI,CDBN_161,109.0
270,MI,CDBN_071,103.0
271,MI,CDBN_060,106.0
272,MI,CDBN_061,109.0
273,MI,CDBN_054,91.0
274,MI,CDBN_351,98.0
275,MI,CDBN_345,96.0
276,MI,CDBN_332,97.0
277,MI,CDBN_067,103.0
278,MI,CDBN_062,108.0
279,MI,CDBN_068,105.0
280,MI,CDBN_095,88.0
281,MI,CDBN_342,93.0
282,MI,CDBN_069,92.0
283,MI,CDBN_059,100.0
284,MI,CDBN_310,97.0
285,MI,CDBN_349,96.0
286,MI,CDBN_160,97.0
287,MI,CDBN_185,97.0
288,MI,CDBN_173,90.0
289,MI,CDBN_070,92.0
290,MI,CDBN_236,95.0
291,MI,CDBN_235,89.0
292,MI,CDBN_218,92.0
293,MI,CDBN_343,92.0
294,MI,CDBN_052,106.0
295,MI,CDBN_064,106.0
296,MI,CDBN_262,102.0
297,MI,CDBN_083,100.0
298,MI,CDBN_143,98.0
299,MI,CDBN_167,103.0
300,MI,CDBN_253,101.0
301,MI,CDBN_237,101.0
302,MI,CDBN_058,98.0
303,MI,CDBN_217,100.0
304,MI,CDBN_261,104.0
305,MI,CDBN_066,102.0
306,MI,CDBN_243,97.0
307,MI,CDBN_295,103.0
308,MI,CDBN_269,108.0
309,MI,CDBN_055,104.0
310,MI,CDBN_195,103.0
311,MI,CDBN_305,95.0
312,MI,CDBN_174,101.0
313,MI,CDBN_214,99.0
314,MI,CDBN_141,96.0
315,MI,CDBN_142,104.0
316,MI,CDBN_255,86.0
317,MI,CDBN_270,85.0
318,MI,CDBN_197,93.0
319,MI,CDBN_210,89.0
320,MI,CDBN_085,98.0
321,MI,CDBN_228,89.0
322,MI,CDBN_184,97.0
323,MI,CDBN_254,96.0
324,MI,CDBN_215,100.0
325,MI,CDBN_168,103.0
326,MI,CDBN_163,94.0
327,MI,CDBN_189,90.0
328,MI,CDBN_096,93.0
329,MI,CDBN_056,96.0
