,location,genotype,SY
84,CA,CDBN_092,2504.32
85,CA,CDBN_181,2404.64
86,CA,CDBN_183,2806.72
87,CA,CDBN_019,2317.28
88,CA,CDBN_020,2545.76
89,CA,CDBN_302,3361.12
90,CA,CDBN_078,1877.12
91,CA,CDBN_165,1891.68
92,CA,CDBN_158,2105.6
93,CA,CDBN_094,3333.12
94,CA,CDBN_082,2708.16
95,CA,CDBN_223,2589.44
96,CA,CDBN_245,2851.744
97,CA,CDBN_324,3401.104
98,CA,CDBN_224,2623.04
99,CA,CDBN_087,1792.0
100,CA,CDBN_275,2582.72
101,CA,CDBN_170,1121.12
102,CA,CDBN_121,3052.0
103,CA,CDBN_026,2833.6
104,CA,CDBN_196,2479.68
105,CA,CDBN_208,3345.44
106,CA,CDBN_234,2589.44
107,CA,CDBN_316,3057.6
108,CA,CDBN_084,3019.52
109,CA,CDBN_011,3383.52
110,CA,CDBN_016,3082.24
111,CA,CDBN_089,2293.76
112,CA,CDBN_123,2046.24
113,CA,CDBN_263,3339.84
114,CA,CDBN_126,2444.96
115,CA,CDBN_127,2324.0
116,CA,CDBN_028,2207.52
117,CA,CDBN_129,2397.92
118,CA,CDBN_079,2255.68
119,CA,CDBN_010,4291.4704
120,CA,CDBN_012,4160.8
121,CA,CDBN_015,4405.3296
122,CA,CDBN_277,2564.8
123,CA,CDBN_116,2051.4704
124,CA,CDBN_298,4205.6
125,CA,CDBN_299,4291.4704
126,CA,CDBN_249,4323.2
127,CA,CDBN_250,3139.7296
128,CA,CDBN_251,3752.0
129,CA,CDBN_017,3821.0704
130,CA,CDBN_021,4403.4704
131,CA,CDBN_125,2702.9296
132,CA,CDBN_027,3302.1296
133,CA,CDBN_164,2676.8
134,CA,CDBN_044,2932.5296
135,CA,CDBN_046,2954.9296
136,CA,CDBN_285,2279.2
137,CA,CDBN_219,4209.3296
138,CA,CDBN_311,4295.2
139,CA,CDBN_053,4280.2704
140,CA,CDBN_065,4442.6704
141,CA,CDBN_314,113.12
142,CA,CDBN_317,4231.7296
143,CA,CDBN_013,2207.52
144,CA,CDBN_014,2149.28
145,CA,CDBN_051,1634.08
146,CA,CDBN_293,2299.36
147,CA,CDBN_242,1859.2
148,CA,CDBN_239,2195.2
149,CA,CDBN_159,1935.36
150,CA,CDBN_247,1665.44
151,CA,CDBN_278,2089.92
152,CA,CDBN_024,2589.44
153,CA,CDBN_268,1150.24
154,CA,CDBN_036,2736.16
155,CA,CDBN_037,2551.36
156,CA,CDBN_048,2397.92
157,CA,CDBN_271,2100.0
158,CA,CDBN_193,2422.56
159,CA,CDBN_128,1719.2
160,CA,CDBN_303,1624.0
161,CA,CDBN_199,2867.2
162,CA,CDBN_232,1533.28
163,CA,CDBN_203,1657.6
164,CA,CDBN_098,2182.88
165,CA,CDBN_307,2121.28
166,CA,CDBN_138,1991.36
167,CA,CDBN_318,1181.6
168,CA,CDBN_279,3620.96
169,CA,CDBN_291,2531.2
170,CA,CDBN_003,2788.8
171,CA,CDBN_005,3166.24
172,CA,CDBN_294,2630.88
173,CA,CDBN_050,2157.12
174,CA,CDBN_297,2536.8
175,CA,CDBN_182,2928.8
176,CA,CDBN_286,2777.6
177,CA,CDBN_287,2583.84
178,CA,CDBN_288,2754.08
179,CA,CDBN_146,2816.8
180,CA,CDBN_097,2675.68
181,CA,CDBN_322,2825.76
182,CA,CDBN_289,2828.0
183,CA,CDBN_045,2072.0
184,CA,CDBN_047,2532.32
185,CA,CDBN_072,2219.84
186,CA,CDBN_074,1898.4
