,location,genotype,SY
821,ID,CDBN_291,2698.08
822,ID,CDBN_246,2739.52
823,ID,CDBN_286,2610.72
824,ID,CDBN_074,2208.64
825,ID,CDBN_080,3062.08
826,ID,CDBN_090,2432.64
827,ID,CDBN_081,2564.8
828,ID,CDBN_309,3598.56
829,ID,CDBN_313,3646.72
830,ID,CDBN_315,3158.4
831,ID,CDBN_136,3372.32
832,ID,CDBN_323,3650.08
833,ID,CDBN_188,984.48
834,ID,CDBN_180,2399.04
835,ID,CDBN_153,2310.56
836,ID,CDBN_308,2690.24
837,ID,CDBN_319,3541.44
838,ID,CDBN_025,2759.68
839,ID,CDBN_280,2273.6
840,ID,CDBN_049,3927.84
841,ID,CDBN_100,1428.0
842,ID,CDBN_120,2123.52
843,ID,CDBN_276,3058.72
844,ID,CDBN_281,2007.04
845,ID,CDBN_157,1557.92
846,ID,CDBN_133,2397.92
847,ID,CDBN_112,1821.12
848,ID,CDBN_220,3766.56
849,ID,CDBN_099,4667.04
850,ID,CDBN_101,4396.0
851,ID,CDBN_102,4401.6
852,ID,CDBN_110,5008.64
853,ID,CDBN_111,2711.52
854,ID,CDBN_282,2906.4
855,ID,CDBN_283,3363.36
856,ID,CDBN_057,3011.68
857,ID,CDBN_221,5045.6
858,ID,CDBN_229,3629.92
859,ID,CDBN_145,1811.04
860,ID,CDBN_103,2862.72
861,ID,CDBN_104,2892.96
862,ID,CDBN_106,2340.8
863,ID,CDBN_107,2844.8
864,ID,CDBN_177,2702.56
865,ID,CDBN_108,3774.4
866,ID,CDBN_109,2013.76
867,ID,CDBN_156,2708.16
868,ID,CDBN_194,1713.6
869,ID,CDBN_130,2542.4
870,ID,CDBN_113,2122.4
871,ID,CDBN_132,2614.08
872,ID,CDBN_162,2943.36
873,ID,CDBN_292,2752.96
874,ID,CDBN_105,2366.56
875,ID,CDBN_169,3758.72
876,ID,CDBN_231,3716.16
877,ID,CDBN_137,1618.4
878,ID,CDBN_150,3203.2
879,ID,CDBN_258,2929.92
880,ID,CDBN_264,3549.28
881,ID,CDBN_266,3260.32
882,ID,CDBN_152,2722.72
883,ID,CDBN_230,3068.8
884,ID,CDBN_209,2744.0
885,ID,CDBN_135,3207.68
886,ID,CDBN_222,3137.12
887,ID,CDBN_148,2492.0
888,ID,CDBN_227,3642.24
889,ID,CDBN_149,2686.88
890,ID,CDBN_117,2654.4
891,ID,CDBN_118,3430.56
892,ID,CDBN_122,1896.16
893,ID,CDBN_260,3424.96
894,ID,CDBN_131,2191.84
895,ID,CDBN_151,2223.2
896,ID,CDBN_176,4225.76
897,ID,CDBN_191,3631.04
898,ID,CDBN_114,4357.92
899,ID,CDBN_233,3419.36
900,MI,CDBN_171,1917.44
901,MI,CDBN_339,3130.4
902,MI,CDBN_172,2430.4
903,MI,CDBN_063,2595.04
904,MI,CDBN_161,3363.36
905,MI,CDBN_071,1771.84
906,MI,CDBN_060,2271.36
907,MI,CDBN_061,2904.16
908,MI,CDBN_054,2745.12
909,MI,CDBN_351,2763.04
910,MI,CDBN_345,2729.44
911,MI,CDBN_332,2298.24
912,MI,CDBN_067,3297.28
913,MI,CDBN_062,1813.28
914,MI,CDBN_068,2869.44
915,MI,CDBN_095,872.48
916,MI,CDBN_342,3136.0
917,MI,CDBN_069,2430.4
918,MI,CDBN_059,1522.08
919,MI,CDBN_310,2045.12
920,MI,CDBN_349,2614.08
921,MI,CDBN_160,3335.36
922,MI,CDBN_185,3881.92
923,MI,CDBN_173,4226.88
924,MI,CDBN_070,4374.72
925,MI,CDBN_236,4323.2
926,MI,CDBN_235,3212.16
927,MI,CDBN_218,3795.68
928,MI,CDBN_343,5294.24
929,MI,CDBN_052,2094.4
930,MI,CDBN_064,2518.88
931,MI,CDBN_262,2450.56
932,MI,CDBN_083,2376.64
933,MI,CDBN_143,2217.6
934,MI,CDBN_167,1077.44
935,MI,CDBN_253,2195.2
936,MI,CDBN_237,2604.0
937,MI,CDBN_058,2527.84
938,MI,CDBN_217,2976.96
939,MI,CDBN_261,2894.08
940,MI,CDBN_066,1142.4
941,MI,CDBN_243,2273.6
942,MI,CDBN_295,2632.0
943,MI,CDBN_269,1724.8
944,MI,CDBN_055,2094.4
945,MI,CDBN_195,2452.8
946,MI,CDBN_305,1579.2
947,MI,CDBN_174,2665.6
948,MI,CDBN_214,2486.4
949,MI,CDBN_141,2508.8
950,MI,CDBN_142,2676.8
951,MI,CDBN_255,1904.0
952,MI,CDBN_270,1411.2
953,MI,CDBN_197,1008.0
954,MI,CDBN_210,1097.6
955,MI,CDBN_085,1769.6
956,MI,CDBN_228,2038.4
957,MI,CDBN_184,3875.2
958,MI,CDBN_254,3427.2
959,MI,CDBN_215,3707.2
960,MI,CDBN_168,3270.4
961,MI,CDBN_163,3427.2
962,MI,CDBN_189,3393.6
963,MI,CDBN_096,1456.0
964,MI,CDBN_056,2284.8
965,MI,CDBN_272,2632.0
966,MI,CDBN_198,1926.4
967,MI,CDBN_200,1848.0
968,MI,CDBN_206,1624.0
969,MI,CDBN_211,2139.2
970,MI,CDBN_216,1657.6
971,MI,CDBN_091,2139.2
972,MI,CDBN_244,2956.8
973,MI,CDBN_035,2441.6
974,MI,CDBN_178,2844.8
975,MI,CDBN_139,2598.4
976,MI,CDBN_353,2609.6
977,MI,CDBN_320,3852.8
978,MI,CDBN_252,3449.6
979,MI,CDBN_304,2945.6
980,MI,CDBN_204,3158.4
981,MI,CDBN_212,3113.6
982,MI,CDBN_213,2139.2
983,MI,CDBN_225,2240.0
984,MI,CDBN_092,1926.4
985,MI,CDBN_020,1276.8
986,MI,CDBN_078,2385.6
987,MI,CDBN_165,1948.8
988,MI,CDBN_158,1164.8
989,MI,CDBN_094,1232.0
990,MI,CDBN_181,2620.8
991,MI,CDBN_183,3438.4
992,MI,CDBN_019,537.6
993,MI,CDBN_302,3628.8
994,MI,CDBN_082,3382.4
995,MI,CDBN_223,2766.4
996,MI,CDBN_087,2822.4
997,MI,CDBN_245,3539.2
998,MI,CDBN_324,3001.6
999,MI,CDBN_224,2777.6
1000,MI,CDBN_170,1892.8
1001,MI,CDBN_275,3528.0
1002,MI,CDBN_121,3091.2
1003,MI,CDBN_026,3673.6
1004,MI,CDBN_196,3203.2
1005,MI,CDBN_208,2811.2
1006,MI,CDBN_234,2912.0
1007,MI,CDBN_316,2721.6
1008,MI,CDBN_084,3561.6
1009,MI,CDBN_123,3427.2
1010,MI,CDBN_126,3494.4
1011,MI,CDBN_127,3763.2
1012,MI,CDBN_079,2038.4
1013,MI,CDBN_011,3035.2
1014,MI,CDBN_016,3539.2
1015,MI,CDBN_089,2553.6
1016,MI,CDBN_263,2822.4
1017,MI,CDBN_028,2833.6
1018,MI,CDBN_129,3416.0
1019,MI,CDBN_051,1657.6
1020,MI,CDBN_159,1097.6
1021,MI,CDBN_278,918.4
1022,MI,CDBN_010,3281.6
1023,MI,CDBN_013,3763.2
1024,MI,CDBN_014,3382.4
1025,MI,CDBN_293,2643.2
1026,MI,CDBN_277,3371.2
1027,MI,CDBN_242,2800.0
1028,MI,CDBN_116,3124.8
1029,MI,CDBN_239,2934.4
1030,MI,CDBN_299,3326.4
1031,MI,CDBN_247,2833.6
1032,MI,CDBN_249,2654.4
1033,MI,CDBN_024,2844.8
1034,MI,CDBN_268,2430.4
1035,MI,CDBN_036,3595.2
1036,MI,CDBN_037,4233.6
1037,MI,CDBN_048,3360.0
1038,MI,CDBN_271,4267.2
1039,MI,CDBN_193,3147.2
1040,MI,CDBN_128,2587.2
1041,MI,CDBN_303,3472.0
1042,MI,CDBN_199,3684.8
1043,MI,CDBN_232,3729.6
1044,MI,CDBN_203,3068.8
1045,MI,CDBN_098,3438.4
1046,MI,CDBN_307,2856.0
1047,MI,CDBN_138,3203.2
1048,MI,CDBN_318,2856.0
1049,MI,CDBN_284,3696.0
1050,MI,CDBN_285,3964.8
1051,MI,CDBN_300,4121.6
1052,MI,CDBN_039,3024.0
1053,MI,CDBN_238,3908.8
1054,MI,CDBN_290,2620.8
1055,MI,CDBN_053,3763.2
1056,MI,CDBN_065,3673.6
1057,MI,CDBN_317,4155.2
1058,MI,CDBN_273,4928.0
1059,MI,CDBN_274,2833.6
1060,MI,CDBN_002,1702.4
1061,MI,CDBN_115,504.0
1062,MI,CDBN_259,1299.2
1063,MI,CDBN_166,2620.8
1064,MI,CDBN_226,1299.2
1065,MI,CDBN_009,2985.92
1066,MI,CDBN_154,2141.44
1067,MI,CDBN_241,3276.0
1068,MI,CDBN_298,3423.84
1069,MI,CDBN_267,2448.32
1070,MI,CDBN_038,2397.92
1071,MI,CDBN_040,3013.92
1072,MI,CDBN_043,2714.88
1073,MI,CDBN_093,2013.76
1074,MI,CDBN_179,3403.68
1075,MI,CDBN_201,2532.32
1076,MI,CDBN_086,2792.16
1077,MI,CDBN_088,1598.24
1078,MI,CDBN_155,3169.6
1079,MI,CDBN_296,2665.6
1080,MI,CDBN_321,2900.8
1081,MI,CDBN_248,1500.8
1082,MI,CDBN_301,2419.2
1083,MI,CDBN_257,1534.4
1084,MI,CDBN_146,2363.2
1085,MI,CDBN_265,2430.4
1086,MI,CDBN_042,2083.2
1087,MI,CDBN_306,2732.8
1088,MI,CDBN_312,3124.8
1089,MI,CDBN_314,2665.6
1090,MI,CDBN_144,3595.2
1091,MI,CDBN_031,2654.4
1092,MI,CDBN_041,2340.8
1093,MI,CDBN_288,2688.0
1094,MI,CDBN_097,2968.0
1095,MI,CDBN_030,3393.6
1096,MI,CDBN_032,2587.2
1097,MI,CDBN_033,3024.0
1098,MI,CDBN_034,2206.4
1099,MI,CDBN_192,2452.8
1100,MI,CDBN_076,2676.8
1101,MI,CDBN_077,1668.8
1102,MI,CDBN_207,2900.8
1103,MI,CDBN_007,4412.8
1104,MI,CDBN_186,3595.2
1105,MI,CDBN_006,2620.8
1106,MI,CDBN_187,2598.4
1107,MI,CDBN_008,3561.6
1108,MI,CDBN_147,3483.2
1109,MI,CDBN_023,3839.36
1110,MI,CDBN_124,3301.76
1111,MI,CDBN_073,3192.0
1112,MI,CDBN_075,2643.2
1113,MI,CDBN_175,3281.6
1114,MI,CDBN_279,1209.6
1115,MI,CDBN_022,1534.4
1116,MI,CDBN_003,3001.6
1117,MI,CDBN_005,2956.8
1118,MI,CDBN_004,2800.0
1119,MI,CDBN_322,2912.0
1120,MI,CDBN_047,2878.4
1121,MI,CDBN_311,2755.2
1122,MI,CDBN_291,1030.4
1123,MI,CDBN_001,3068.8
1124,MI,CDBN_294,2755.2
1125,MI,CDBN_050,2116.8
1126,MI,CDBN_297,2788.8
1127,MI,CDBN_182,2800.0
1128,MI,CDBN_287,3304.0
1129,MI,CDBN_289,3774.4
1130,MI,CDBN_045,2688.0
1131,MI,CDBN_072,3080.0
1132,MI,CDBN_134,2609.6
1133,MI,CDBN_286,3292.8
1134,MI,CDBN_090,3460.8
1135,MI,CDBN_246,3360.0
1136,MI,CDBN_074,2307.2
1137,MI,CDBN_080,2587.2
1138,MI,CDBN_081,3068.8
1139,MI,CDBN_309,2990.4
1140,MI,CDBN_313,4076.8
1141,MI,CDBN_315,2822.4
1142,MI,CDBN_136,3763.2
1143,MI,CDBN_323,3024.0
1144,MI,CDBN_180,3740.8
1145,MI,CDBN_240,3707.2
1146,MI,CDBN_308,3416.0
1147,MI,CDBN_319,3505.6
1148,MI,CDBN_188,2822.4
1149,MI,CDBN_280,2923.2
1150,MI,CDBN_025,2811.2
1151,MI,CDBN_049,3438.4
1152,MI,CDBN_281,2094.4
1153,MI,CDBN_112,1344.0
1154,MI,CDBN_133,1500.8
1155,MI,CDBN_110,1814.4
1156,MI,CDBN_111,1769.6
1157,MI,CDBN_283,1915.2
1158,MI,CDBN_221,2105.6
1159,MI,CDBN_099,2452.8
1160,MI,CDBN_229,2710.4
1161,MI,CDBN_145,2676.8
1162,MI,CDBN_103,2049.6
1163,MI,CDBN_104,2307.2
1164,MI,CDBN_106,2497.6
1165,MI,CDBN_107,2620.8
1166,MI,CDBN_177,2195.2
1167,MI,CDBN_108,2128.0
1168,MI,CDBN_109,1971.2
1169,MI,CDBN_156,2766.4
1170,MI,CDBN_282,2508.8
1171,MI,CDBN_194,2990.4
1172,MI,CDBN_130,1848.0
1173,MI,CDBN_113,2688.0
1174,MI,CDBN_132,1926.4
1175,MI,CDBN_162,2452.8
1176,MI,CDBN_153,3169.6
1177,MI,CDBN_292,3852.8
1178,MI,CDBN_105,3729.6
1179,MI,CDBN_231,2240.0
1180,MI,CDBN_276,3024.0
1181,MI,CDBN_137,3494.4
1182,MI,CDBN_150,2060.8
1183,MI,CDBN_169,2228.8
1184,MI,CDBN_258,2350.88
1185,MI,CDBN_264,2784.32
1186,MI,CDBN_266,3193.12
1187,MI,CDBN_152,2030.56
1188,MI,CDBN_230,1948.8
1189,MI,CDBN_135,2533.44
1190,MI,CDBN_222,2842.56
1191,MI,CDBN_148,2101.12
1192,MI,CDBN_227,2789.92
1193,MI,CDBN_149,2571.52
1194,MI,CDBN_117,2892.96
1195,MI,CDBN_118,3143.84
1196,MI,CDBN_122,1979.04
1197,MI,CDBN_260,2848.16
1198,MI,CDBN_202,3045.28
1199,MI,CDBN_131,2326.24
1200,MI,CDBN_209,2246.72
1201,MI,CDBN_151,2574.88
1202,MI,CDBN_176,1920.8
1203,MI,CDBN_191,1917.44
1204,MI,CDBN_114,1884.96
1205,MI,CDBN_233,1170.4
1206,MN,CDBN_171,2833.6
1207,MN,CDBN_339,3360.0
1208,MN,CDBN_172,2329.6
1209,MN,CDBN_063,3763.2
1210,MN,CDBN_161,3449.6
1211,MN,CDBN_071,3393.6
1212,MN,CDBN_060,3203.2
1213,MN,CDBN_061,3236.8
1214,MN,CDBN_160,1344.0
1215,MN,CDBN_168,3606.4
1216,MN,CDBN_163,3774.4
1217,MN,CDBN_189,2329.6
1218,MN,CDBN_091,1680.0
1219,MN,CDBN_092,2150.4
1220,MN,CDBN_020,1265.6
1221,MN,CDBN_078,2374.4
1222,MN,CDBN_165,1355.2
1223,MN,CDBN_158,1892.8
1224,MN,CDBN_002,1263.36
1225,MN,CDBN_051,1649.76
1226,MN,CDBN_159,1394.4
1227,MN,CDBN_278,1031.52
1228,MN,CDBN_123,1358.56
1229,MN,CDBN_284,521.92
1230,MN,CDBN_285,1078.56
1231,MN,CDBN_166,1723.68
1232,MN,CDBN_087,1190.56
1233,MN,CDBN_294,3002.72
1234,MN,CDBN_177,3132.64
1235,MN,CDBN_231,2736.16
1236,MN,CDBN_095,3428.32
1237,MN,CDBN_311,3161.76
1238,MN,CDBN_221,3048.64
1239,MN,CDBN_150,2929.92
1240,MN,CDBN_108,730.24
1241,MN,CDBN_137,1173.76
1242,MN,CDBN_145,2182.88
1243,MN,CDBN_105,1752.8
1244,MN,CDBN_146,1899.52
1245,MN,CDBN_323,1738.24
1246,MN,CDBN_169,1977.92
1247,MN,CDBN_109,1344.0
1248,MN,CDBN_111,1167.04
1249,MN,CDBN_276,2293.76
1250,MN,CDBN_194,1684.48
1251,MN,CDBN_113,2244.48
1252,MN,CDBN_132,1755.04
1253,MN,CDBN_258,1656.48
1254,MN,CDBN_266,1640.8
1255,MN,CDBN_152,1046.08
1256,MN,CDBN_238,1928.64
1257,MN,CDBN_090,1339.52
1258,MN,CDBN_222,1631.84
1259,MN,CDBN_274,1422.4
1260,MN,CDBN_264,1918.56
1261,MN,CDBN_227,1700.16
1262,MN,CDBN_149,1714.72
1263,MN,CDBN_230,640.64
1264,MN,CDBN_135,377.44
1265,MN,CDBN_117,2797.76
1266,MN,CDBN_118,2941.12
1267,MN,CDBN_050,3130.4
1268,MN,CDBN_106,3172.96
1269,MN,CDBN_107,1800.96
1270,MN,CDBN_122,3293.92
1271,MN,CDBN_256,3227.84
1272,MN,CDBN_260,3607.52
1273,MN,CDBN_131,2462.88
1274,MN,CDBN_205,2778.72
1275,MN,CDBN_209,2460.64
1276,MN,CDBN_219,2097.76
1277,MN,CDBN_151,3159.52
1278,MN,CDBN_202,2402.4
1279,MN,CDBN_191,2245.6
1280,MT,CDBN_054,2726.08
1281,MT,CDBN_351,2317.28
1282,MT,CDBN_171,1105.44
1283,MT,CDBN_345,3522.4
1284,MT,CDBN_332,2355.36
1285,MT,CDBN_339,1508.64
1286,MT,CDBN_067,2317.28
1287,MT,CDBN_062,3152.8
1288,MT,CDBN_068,2386.72
1289,MT,CDBN_172,1282.4
1290,MT,CDBN_063,2005.92
1291,MT,CDBN_095,3858.4
1292,MT,CDBN_342,2936.64
1293,MT,CDBN_069,2437.12
1294,MT,CDBN_161,2502.08
1295,MT,CDBN_059,3137.12
1296,MT,CDBN_071,1049.44
1297,MT,CDBN_310,2227.68
1298,MT,CDBN_060,1999.2
1299,MT,CDBN_061,2298.24
1300,MT,CDBN_349,3190.88
1301,MT,CDBN_185,4494.56
1302,MT,CDBN_173,5208.0
1303,MT,CDBN_160,3796.8
1304,MT,CDBN_070,4980.64
1305,MT,CDBN_236,4390.4
1306,MT,CDBN_235,5208.0
1307,MT,CDBN_218,4555.04
1308,MT,CDBN_343,5252.8
1309,MT,CDBN_253,3595.2
1310,MT,CDBN_237,3102.4
1311,MT,CDBN_064,3528.0
1312,MT,CDBN_058,3752.0
1313,MT,CDBN_217,3673.6
1314,MT,CDBN_167,2956.8
1315,MT,CDBN_261,3516.8
1316,MT,CDBN_143,3864.0
1317,MT,CDBN_243,4342.24
1318,MT,CDBN_295,3964.8
1319,MT,CDBN_066,2800.0
1320,MT,CDBN_269,3931.2
1321,MT,CDBN_055,4046.56
1322,MT,CDBN_195,4267.2
1323,MT,CDBN_305,4760.0
1324,MT,CDBN_174,4304.16
1325,MT,CDBN_214,4073.44
1326,MT,CDBN_141,4113.76
1327,MT,CDBN_142,4931.36
1328,MT,CDBN_255,3020.64
1329,MT,CDBN_270,2908.64
1330,MT,CDBN_197,3203.2
1331,MT,CDBN_210,3199.84
1332,MT,CDBN_085,3427.2
1333,MT,CDBN_228,2441.6
1334,MT,CDBN_184,3222.24
1335,MT,CDBN_254,2881.76
1336,MT,CDBN_215,3214.4
1337,MT,CDBN_168,2385.6
1338,MT,CDBN_163,3292.8
1339,MT,CDBN_096,2934.4
1340,MT,CDBN_056,2620.8
1341,MT,CDBN_272,3740.8
1342,MT,CDBN_198,3393.6
1343,MT,CDBN_200,2654.4
1344,MT,CDBN_189,2273.6
1345,MT,CDBN_206,3808.0
1346,MT,CDBN_211,2956.8
1347,MT,CDBN_216,3046.4
1348,MT,CDBN_091,2116.8
1349,MT,CDBN_244,3584.0
1350,MT,CDBN_035,3382.4
1351,MT,CDBN_178,3729.6
1352,MT,CDBN_139,4099.2
1353,MT,CDBN_353,3136.0
1354,MT,CDBN_320,4278.4
1355,MT,CDBN_252,3752.0
1356,MT,CDBN_304,4603.2
1357,MT,CDBN_204,3920.0
1358,MT,CDBN_212,4457.6
1359,MT,CDBN_213,3214.4
1360,MT,CDBN_225,3976.0
1361,MT,CDBN_092,3752.0
1362,MT,CDBN_181,3539.2
1363,MT,CDBN_183,4088.0
1364,MT,CDBN_019,3886.4
1365,MT,CDBN_020,2699.2
1366,MT,CDBN_302,4177.6
1367,MT,CDBN_078,3248.0
1368,MT,CDBN_165,3259.2
1369,MT,CDBN_158,3572.8
1370,MT,CDBN_094,3729.6
1371,MT,CDBN_082,4222.4
1372,MT,CDBN_223,2710.4
1373,MT,CDBN_245,3953.6
1374,MT,CDBN_324,4334.4
1375,MT,CDBN_224,3404.8
1376,MT,CDBN_087,2867.2
1377,MT,CDBN_275,3553.76
1378,MT,CDBN_170,3128.16
1379,MT,CDBN_121,2937.76
1380,MT,CDBN_026,3528.0
1381,MT,CDBN_196,3916.64
1382,MT,CDBN_208,2948.96
1383,MT,CDBN_234,4166.4
1384,MT,CDBN_316,3367.84
1385,MT,CDBN_084,3580.64
1386,MT,CDBN_011,4390.4
1387,MT,CDBN_016,4491.2
1388,MT,CDBN_052,3292.8
1389,MT,CDBN_089,3449.6
1390,MT,CDBN_123,3494.4
1391,MT,CDBN_263,3292.8
1392,MT,CDBN_126,3292.8
1393,MT,CDBN_127,3796.8
1394,MT,CDBN_028,3561.6
1395,MT,CDBN_129,4043.2
1396,MT,CDBN_079,3236.8
1397,MT,CDBN_010,4185.44
1398,MT,CDBN_012,3535.84
1399,MT,CDBN_015,3827.04
1400,MT,CDBN_277,3024.0
1401,MT,CDBN_116,3800.16
1402,MT,CDBN_298,4214.56
1403,MT,CDBN_299,4043.2
1404,MT,CDBN_249,3721.76
1405,MT,CDBN_250,1937.6
1406,MT,CDBN_251,3558.24
1407,MT,CDBN_017,3889.76
1408,MT,CDBN_021,3379.04
1409,MT,CDBN_125,2038.4
1410,MT,CDBN_027,3416.0
1411,MT,CDBN_164,2758.56
1412,MT,CDBN_044,3180.8
1413,MT,CDBN_046,3184.16
1414,MT,CDBN_285,2505.44
1415,MT,CDBN_219,3128.16
1416,MT,CDBN_311,3553.76
1417,MT,CDBN_053,3827.04
1418,MT,CDBN_065,3531.36
1419,MT,CDBN_314,3688.16
1420,MT,CDBN_317,4252.64
1421,MT,CDBN_013,4301.92
1422,MT,CDBN_014,3888.64
1423,MT,CDBN_051,3024.0
1424,MT,CDBN_293,3501.12
1425,MT,CDBN_242,4020.8
1426,MT,CDBN_239,3363.36
1427,MT,CDBN_159,2079.84
1428,MT,CDBN_247,3961.44
1429,MT,CDBN_278,2517.76
1430,MT,CDBN_024,4001.76
1431,MT,CDBN_268,3535.84
1432,MT,CDBN_036,3355.52
1433,MT,CDBN_037,3725.12
1434,MT,CDBN_048,2858.24
1435,MT,CDBN_271,3736.32
1436,MT,CDBN_193,4110.4
1437,MT,CDBN_128,3286.08
1438,MT,CDBN_303,3530.24
1439,MT,CDBN_199,3645.6
1440,MT,CDBN_232,3207.68
1441,MT,CDBN_203,3239.04
1442,MT,CDBN_098,3563.84
1443,MT,CDBN_307,3725.12
1444,MT,CDBN_138,3585.12
1445,MT,CDBN_318,3862.88
1446,MT,CDBN_300,3796.8
1447,MT,CDBN_039,3315.2
1448,MT,CDBN_284,1724.8
1449,MT,CDBN_238,3763.2
1450,MT,CDBN_290,4412.8
1451,MT,CDBN_273,3662.4
1452,MT,CDBN_274,3707.2
1453,MT,CDBN_002,3091.2
1454,MT,CDBN_009,3528.0
1455,MT,CDBN_154,3024.0
1456,MT,CDBN_241,4312.0
1457,MT,CDBN_259,3483.2
1458,MT,CDBN_267,3729.6
1459,MT,CDBN_038,2956.8
1460,MT,CDBN_040,3516.8
1461,MT,CDBN_043,2520.0
1462,MT,CDBN_093,2788.8
1463,MT,CDBN_179,4625.6
1464,MT,CDBN_201,3505.6
1465,MT,CDBN_166,2744.0
1466,MT,CDBN_086,3774.4
1467,MT,CDBN_226,3236.8
1468,MT,CDBN_088,2116.8
1469,MT,CDBN_155,3662.4
1470,MT,CDBN_296,3875.2
1471,MT,CDBN_321,2956.8
1472,MT,CDBN_248,2464.0
1473,MT,CDBN_301,3102.4
1474,MT,CDBN_257,4110.4
1475,MT,CDBN_146,3550.4
1476,MT,CDBN_265,3819.2
1477,MT,CDBN_042,3360.0
1478,MT,CDBN_306,3225.6
1479,MT,CDBN_312,3729.6
1480,MT,CDBN_144,2844.8
1481,MT,CDBN_288,2755.2
1482,MT,CDBN_097,2217.6
1483,MT,CDBN_030,1344.0
1484,MT,CDBN_031,2744.0
1485,MT,CDBN_032,1926.4
1486,MT,CDBN_033,1624.0
1487,MT,CDBN_034,2598.4
1488,MT,CDBN_192,2755.2
1489,MT,CDBN_041,2508.8
1490,MT,CDBN_076,2027.2
1491,MT,CDBN_077,2385.6
1492,MT,CDBN_207,1747.2
1493,MT,CDBN_186,1973.44
1494,MT,CDBN_006,1265.6
1495,MT,CDBN_187,2061.92
1496,MT,CDBN_008,1172.64
1497,MT,CDBN_007,1270.08
1498,MT,CDBN_147,1253.28
1499,MT,CDBN_023,1192.8
1500,MT,CDBN_124,1168.16
1501,MT,CDBN_073,1081.92
1502,MT,CDBN_075,1085.28
1503,MT,CDBN_175,1078.56
1504,MT,CDBN_004,2382.24
1505,MT,CDBN_003,2889.6
1506,MT,CDBN_005,2340.8
1507,MT,CDBN_279,1859.2
1508,MT,CDBN_022,2016.0
1509,MT,CDBN_322,2419.2
1510,MT,CDBN_047,1892.8
1511,MT,CDBN_294,3106.88
1512,MT,CDBN_001,1848.0
1513,MT,CDBN_050,2968.0
1514,MT,CDBN_297,3696.0
1515,MT,CDBN_182,3147.2
1516,MT,CDBN_287,2049.6
1517,MT,CDBN_289,2273.6
1518,MT,CDBN_045,2542.4
1519,MT,CDBN_072,1993.6
1520,MT,CDBN_134,3180.8
1521,MT,CDBN_291,1713.6
1522,MT,CDBN_286,1798.72
1523,MT,CDBN_074,1576.96
1524,MT,CDBN_080,2464.0
1525,MT,CDBN_090,1454.88
1526,MT,CDBN_081,2224.32
1527,MT,CDBN_309,3134.88
1528,MT,CDBN_313,2884.0
1529,MT,CDBN_315,2403.52
1530,MT,CDBN_136,4970.56
1531,MT,CDBN_246,3468.64
1532,MT,CDBN_323,3204.32
1533,MT,CDBN_188,3465.28
1534,MT,CDBN_180,3424.96
1535,MT,CDBN_240,3786.72
1536,MT,CDBN_153,3576.16
1537,MT,CDBN_308,4000.64
1538,MT,CDBN_319,4839.52
1539,MT,CDBN_025,3438.4
1540,MT,CDBN_280,1724.8
1541,MT,CDBN_049,2699.2
1542,MT,CDBN_100,2956.8
1543,MT,CDBN_120,3270.4
1544,MT,CDBN_276,3348.8
1545,MT,CDBN_281,3124.8
1546,MT,CDBN_157,3091.2
1547,MT,CDBN_133,3841.6
1548,MT,CDBN_112,2385.6
1549,MT,CDBN_220,3192.0
1550,MT,CDBN_099,3606.4
1551,MT,CDBN_101,3147.2
1552,MT,CDBN_102,2139.2
1553,MT,CDBN_110,2710.4
1554,MT,CDBN_111,2732.8
1555,MT,CDBN_282,2688.0
1556,MT,CDBN_283,2788.8
1557,MT,CDBN_057,2531.2
1558,MT,CDBN_221,2094.4
1559,MT,CDBN_229,3718.4
1560,MT,CDBN_145,2822.4
1561,MT,CDBN_103,2979.2
1562,MT,CDBN_104,3304.0
1563,MT,CDBN_106,2217.6
1564,MT,CDBN_107,2990.4
1565,MT,CDBN_177,3494.4
1566,MT,CDBN_108,3124.8
1567,MT,CDBN_109,2240.0
1568,MT,CDBN_156,2676.8
1569,MT,CDBN_194,2195.2
1570,MT,CDBN_130,2721.6
1571,MT,CDBN_113,3024.0
1572,MT,CDBN_132,3158.4
1573,MT,CDBN_162,3192.0
1574,MT,CDBN_292,1971.2
1575,MT,CDBN_169,3315.2
1576,MT,CDBN_231,3001.6
1577,MT,CDBN_150,3124.8
1578,MT,CDBN_258,3393.6
1579,MT,CDBN_264,3684.8
1580,MT,CDBN_266,3886.4
1581,MT,CDBN_152,2038.4
1582,MT,CDBN_230,3393.6
1583,MT,CDBN_209,1926.4
1584,MT,CDBN_135,3001.6
1585,MT,CDBN_222,3673.6
1586,MT,CDBN_148,1444.8
1587,MT,CDBN_227,3561.6
1588,MT,CDBN_149,3483.2
1589,MT,CDBN_117,2531.2
1590,MT,CDBN_118,2307.2
1591,MT,CDBN_122,2340.8
1592,MT,CDBN_260,3180.8
1593,MT,CDBN_202,3427.2
1594,MT,CDBN_131,2296.0
1595,MT,CDBN_137,2777.6
1596,MT,CDBN_151,2150.4
1597,MT,CDBN_176,1758.4
1598,MT,CDBN_191,3460.8
1599,MT,CDBN_114,3192.0
1600,MT,CDBN_233,3326.4
1601,ND,CDBN_054,3808.0
1602,ND,CDBN_351,2721.6
1603,ND,CDBN_345,3024.0
1604,ND,CDBN_332,3158.4
1605,ND,CDBN_067,3628.8
1606,ND,CDBN_062,2968.0
1607,ND,CDBN_068,2800.0
