,location,genotype,SW
213,CA,CDBN_135,248.816439934036
214,CA,CDBN_222,276.749463087095
215,CA,CDBN_148,256.701963780276
216,CA,CDBN_227,259.7894444443
217,CA,CDBN_149,279.822560147901
218,CA,CDBN_117,384.400313559109
219,CA,CDBN_118,406.809300448205
220,CA,CDBN_122,177.809631516953
221,CA,CDBN_260,368.774284552641
222,CA,CDBN_131,193.842893162286
223,CA,CDBN_151,154.86253670186
224,ID,CDBN_054,392.0
225,ID,CDBN_351,181.0
226,ID,CDBN_171,453.0
227,ID,CDBN_345,323.0
228,ID,CDBN_332,376.0
229,ID,CDBN_339,523.0
230,ID,CDBN_067,383.0
231,ID,CDBN_062,220.0
232,ID,CDBN_068,285.0
233,ID,CDBN_172,576.0
234,ID,CDBN_063,493.0
235,ID,CDBN_095,365.0
236,ID,CDBN_342,334.0
237,ID,CDBN_069,327.0
238,ID,CDBN_161,415.0
239,ID,CDBN_059,324.0
240,ID,CDBN_071,504.0
241,ID,CDBN_310,194.0
242,ID,CDBN_060,457.0
243,ID,CDBN_061,456.0
244,ID,CDBN_349,196.0
245,ID,CDBN_185,411.0
246,ID,CDBN_173,386.0
247,ID,CDBN_160,575.0
248,ID,CDBN_070,342.0
249,ID,CDBN_236,319.0
250,ID,CDBN_235,324.0
251,ID,CDBN_218,331.0
252,ID,CDBN_343,413.0
253,ID,CDBN_052,501.0
254,ID,CDBN_064,203.0
255,ID,CDBN_262,394.0
256,ID,CDBN_083,450.0
257,ID,CDBN_143,367.0
258,ID,CDBN_253,340.0
259,ID,CDBN_237,400.0
260,ID,CDBN_058,260.0
261,ID,CDBN_217,370.0
262,ID,CDBN_167,480.0
263,ID,CDBN_261,360.0
264,ID,CDBN_243,360.0
265,ID,CDBN_295,190.0
266,ID,CDBN_066,530.0
267,ID,CDBN_269,340.0
268,ID,CDBN_055,420.0
269,ID,CDBN_195,390.0
270,ID,CDBN_305,410.0
271,ID,CDBN_174,370.0
272,ID,CDBN_214,360.0
273,ID,CDBN_141,440.0
274,ID,CDBN_142,390.0
275,ID,CDBN_255,183.0
276,ID,CDBN_270,358.0
277,ID,CDBN_197,203.0
278,ID,CDBN_210,432.0
279,ID,CDBN_085,359.0
280,ID,CDBN_228,189.0
281,ID,CDBN_168,390.0
282,ID,CDBN_163,390.0
283,ID,CDBN_254,390.0
284,ID,CDBN_096,390.0
285,ID,CDBN_056,330.0
286,ID,CDBN_272,390.0
287,ID,CDBN_198,390.0
